N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56791,all,1.0,188,0.101,-0.0
4,0.4,56791,all,1.0,189,0.0,0.9379584328821315
4,0.4,56791,all,1.0,190,0.1005,-0.0
4,0.4,56791,all,1.0,191,0.0,2.775768918615494
4,0.4,56791,all,1.0,192,0.09905,-0.0
4,0.4,56791,all,1.0,193,0.0,5.434147057909687
4,0.4,56791,all,1.0,194,0.0963,-0.0
4,0.4,56791,all,1.0,195,0.0,-0.2023853742508592
4,0.4,56791,all,1.0,196,0.0964,-0.0
4,0.4,56791,all,1.0,197,0.0,-7.812853084020701
4,0.4,56791,all,1.0,198,0.1003,-0.0
4,0.4,56791,all,1.0,199,0.0,-1.38399790310429
4,0.4,56791,all,1.0,200,0.101,
4,0.4,56792,all,1.0,0,1.0,
4,0.4,56792,all,1.0,1,0.0,
4,0.4,56792,all,1.0,2,0.52715,-0.0
4,0.4,56792,all,1.0,3,0.0,0.8083539255552241
4,0.4,56792,all,1.0,4,0.39835,-0.0
4,0.4,56792,all,1.0,5,0.0,0.7415173063120806
4,0.4,56792,all,1.0,6,0.34275,-0.0
4,0.4,56792,all,1.0,7,0.0,0.7805358068642142
4,0.4,56792,all,1.0,8,0.30635,-0.0
4,0.4,56792,all,1.0,9,0.0,0.9741234123358529
4,0.4,56792,all,1.0,10,0.2748,-0.0
4,0.4,56792,all,1.0,11,0.0,0.7538327794982822
4,0.4,56792,all,1.0,12,0.25655,-0.0
4,0.4,56792,all,1.0,13,0.0,0.8112405857358076
4,0.4,56792,all,1.0,14,0.241,-0.0
4,0.4,56792,all,1.0,15,0.0,0.942630487321156
4,0.4,56792,all,1.0,16,0.2263,-0.0
4,0.4,56792,all,1.0,17,0.0,0.6150352250293216
4,0.4,56792,all,1.0,18,0.21825,-0.0
4,0.4,56792,all,1.0,19,0.0,0.8129912428336188
4,0.4,56792,all,1.0,20,0.2091,-0.0
4,0.4,56792,all,1.0,21,0.0,0.9284479626873192
4,0.4,56792,all,1.0,22,0.20005,-0.0
4,0.4,56792,all,1.0,23,0.0,0.818700124634137
4,0.4,56792,all,1.0,24,0.19305,-0.0
