N,n,seed,edge_source,resolution,mode,t,P0,d_s
8,0.8,56792,core,1.0,exact,184,0.1024397850592976,-2.337576482982881
8,0.8,56792,core,1.0,exact,185,1.1193066675544178e-14,0.4656314805123169
8,0.8,56792,core,1.0,exact,186,0.1021822733034624,-2.41613611517756
8,0.8,56792,core,1.0,exact,187,1.133941425606059e-14,0.4611396267365219
8,0.8,56792,core,1.0,exact,188,0.10193060115299847,-2.3281811718095007
8,0.8,56792,core,1.0,exact,189,1.1480715368284342e-14,0.4566300530013314
8,0.8,56792,core,1.0,exact,190,0.10168462851933698,-2.324166541953722
8,0.8,56792,core,1.0,exact,191,1.1622016480508681e-14,0.4521047414176636
8,0.8,56792,core,1.0,exact,192,0.10144421932697742,-2.3202489486860562
8,0.8,56792,core,1.0,exact,193,1.1763317592733333e-14,0.4475656587850811
8,0.8,56792,core,1.0,exact,194,0.10120924134599911,-2.398644998290862
8,0.8,56792,core,1.0,exact,195,1.1909665173251909e-14,0.44301475296591203
8,0.8,56792,core,1.0,exact,196,0.10097956603510849,-2.22962340394551
8,0.8,56792,core,1.0,exact,197,1.2045919817183073e-14,0.4384539495548943
8,0.8,56792,core,1.0,exact,198,0.1007550683943946,-2.3910143477516783
8,0.8,56792,core,1.0,exact,199,1.2192267397701786e-14,0.4338851488374629
8,0.8,56792,core,1.0,exact,200,0.10053562682703533,
8,0.8,56793,core,1.0,exact,0,1.0,
8,0.8,56793,core,1.0,exact,1,0.0,
8,0.8,56793,core,1.0,exact,2,0.5217391304347831,-0.0
8,0.8,56793,core,1.0,exact,3,0.0,0.7510182701844103
8,0.8,56793,core,1.0,exact,4,0.40217391304347905,-0.0
8,0.8,56793,core,1.0,exact,5,0.0,0.7938062417430292
8,0.8,56793,core,1.0,exact,6,0.34239130434782694,-0.0
8,0.8,56793,core,1.0,exact,7,0.0,0.8033408501566063
8,0.8,56793,core,1.0,exact,8,0.30502717391304435,-0.0
8,0.8,56793,core,1.0,exact,9,0.0,0.8034913697643781
8,0.8,56793,core,1.0,exact,10,0.2788722826086965,-0.0
8,0.8,56793,core,1.0,exact,11,0.0,0.8000971373875332
8,0.8,56793,core,1.0,exact,12,0.25925611413043564,-0.0
8,0.8,56793,core,1.0,exact,13,0.0,0.7951982112463982
8,0.8,56793,core,1.0,exact,14,0.24384341032608792,-0.0
8,0.8,56793,core,1.0,exact,15,0.0,0.7896522303058315
8,0.8,56793,core,1.0,exact,16,0.2313205884850553,-0.0
8,0.8,56793,core,1.0,exact,17,0.0,0.7838617728792313
8,0.8,56793,core,1.0,exact,18,0.22088490361752816,-0.0
8,0.8,56793,core,1.0,exact,19,0.0,0.778028880778649
8,0.8,56793,core,1.0,exact,20,0.21201457148013003,-0.0
8,0.8,56793,core,1.0,exact,21,0.0,0.7722586015401547
8,0.8,56793,core,1.0,exact,22,0.2043538300887408,-0.0
8,0.8,56793,core,1.0,exact,23,0.0,0.7666058549340868
8,0.8,56793,core,1.0,exact,24,0.19765068137127523,-0.0
8,0.8,56793,core,1.0,exact,25,0.0,0.7610983978014594
8,0.8,56793,core,1.0,exact,26,0.19172097289044027,-0.0
8,0.8,56793,core,1.0,exact,27,0.0,0.7557487812200194
8,0.8,56793,core,1.0,exact,28,0.1864265903182662,-0.0
8,0.8,56793,core,1.0,exact,29,0.0,0.7505608770144885
8,0.8,56793,core,1.0,exact,30,0.18166164600330958,-0.0
8,0.8,56793,core,1.0,exact,31,0.0,0.7455335734463607
8,0.8,56793,core,1.0,exact,32,0.17734341521788013,-0.0
8,0.8,56793,core,1.0,exact,33,0.0,0.740662927848521
8,0.8,56793,core,1.0,exact,34,0.17340620479587096,-0.0
8,0.8,56793,core,1.0,exact,35,0.0,0.735943446792038
8,0.8,56793,core,1.0,exact,36,0.16979709524236244,-0.0
8,0.8,56793,core,1.0,exact,37,0.0,0.7313688578907321
8,0.8,56793,core,1.0,exact,38,0.1664729153904468,-0.0
8,0.8,56793,core,1.0,exact,39,0.0,0.7269325780386304
8,0.8,56793,core,1.0,exact,40,0.16339804902742483,-0.0
8,0.8,56793,core,1.0,exact,41,0.0,0.7226279967645579
8,0.8,56793,core,1.0,exact,42,0.16054281597604733,-0.0
8,0.8,56793,core,1.0,exact,43,0.0,0.718448645230915
8,0.8,56793,core,1.0,exact,44,0.1578822579055543,-0.0
8,0.8,56793,core,1.0,exact,45,0.0,0.7143882936101804
8,0.8,56793,core,1.0,exact,46,0.15539521449287264,-0.0
8,0.8,56793,core,1.0,exact,47,0.0,0.7104410030713347
8,0.8,56793,core,1.0,exact,48,0.1530636112988291,-0.0
8,0.8,56793,core,1.0,exact,49,0.0,0.706601148576782
8,0.8,56793,core,1.0,exact,50,0.15087190431603362,-0.0
8,0.8,56793,core,1.0,exact,51,0.0,0.7028634225088959
8,0.8,56793,core,1.0,exact,52,0.14880664202439958,-0.0
8,0.8,56793,core,1.0,exact,53,0.0,0.6992228253468526
8,0.8,56793,core,1.0,exact,54,0.14685611667043258,-0.0
8,0.8,56793,core,1.0,exact,55,0.0,0.695674647321746
8,0.8,56793,core,1.0,exact,56,0.1450100840632835,-0.0
8,0.8,56793,core,1.0,exact,57,0.0,0.6922144436536859
8,0.8,56793,core,1.0,exact,58,0.14325953653602844,-0.0
8,0.8,56793,core,1.0,exact,59,0.0,0.6888380052512566
8,0.8,56793,core,1.0,exact,60,0.14159651755806782,-0.0
8,0.8,56793,core,1.0,exact,61,0.0,0.6855413263871165
8,0.8,56793,core,1.0,exact,62,0.1400139692691776,-0.0
8,0.8,56793,core,1.0,exact,63,0.0,0.6823205706868507
8,0.8,56793,core,1.0,exact,64,0.1385056062502612,-0.0
8,0.8,56793,core,1.0,exact,65,0.0,0.6791720366667506
8,0.8,56793,core,1.0,exact,66,0.13706581036348928,-0.0
8,0.8,56793,core,1.0,exact,67,0.0,0.6760921239742701
8,0.8,56793,core,1.0,exact,68,0.13568954263265728,-0.0
8,0.8,56793,core,1.0,exact,69,0.0,0.6730773013765865
8,0.8,56793,core,1.0,exact,70,0.1343722689964097,-0.0
8,0.8,56793,core,1.0,exact,71,0.0,0.6701240774076027
8,0.8,56793,core,1.0,exact,72,0.13310989742551152,-0.0
8,0.8,56793,core,1.0,exact,73,0.0,0.6672289744172255
8,0.8,56793,core,1.0,exact,74,0.13189872440286868,-0.0
8,0.8,56793,core,1.0,exact,75,0.0,0.6643885065804167
8,0.8,56793,core,1.0,exact,76,0.1307353891593044,-0.0
8,0.8,56793,core,1.0,exact,77,0.0,0.6615991622303481
8,0.8,56793,core,1.0,exact,78,0.12961683436677335,-0.0
